BGC0001074.1|DF19_23395
BGC0001568.1|ATJ00782.1
BGC0001558.1|D329_RS32350
BGC0001916.1|BBA84072.1
BGC0001649.1|BBA84072.1
BGC0001852.1|IH80_RS0102865
BGC0001851.1|IO28_RS0104910
BGC0001732.1|AIE54233.1
BGC0001731.1|AIE54180.1
BGC0001183.1|AGC09475.1
BGC0001004.1|lobR3
BGC0001183.1|AGC09510.1
BGC0001807.1|ATL73056.1
BGC0000654.1|plaR1
BGC0001670.1|monRI
BGC0000100.1|monRI
BGC0001625.1|ifqD
BGC0001386.1|ifnD
BGC0000191.1|aclI
BGC0000192.1|aknI
BGC0000212.1|SSBG_00487
BGC0000241.1|Strop_2178
BGC0000240.1|lom7
BGC0001693.1|ARD70855.1
BGC0000440.1|tei10
BGC0000441.1|CAG15043.1
BGC0001061.1|pokR2
BGC0001409.1|dutK
BGC0000596.1|SSPG_RS25520
BGC0000596.1|SSPG_05082
BGC0001592.1|fevR
BGC0002029.1|fevR
BGC0000889.1|fevR
BGC0000315.1|SCO3217
BGC0001370.1|ALV82361.1
BGC0000020.1|asm18
BGC0001511.1|AQZ37105.1
BGC0001958.1|amc0
BGC0001957.1|amc0
BGC0001958.1|amc16
BGC0001957.1|amc16
BGC0001179.1|rslR2
BGC0001719.1|AWM72919.1
BGC0001934.1|arm24
BGC0002022.1|ams25
BGC0001690.1|AQT01397.1
BGC0000059.1|SAV_410
BGC0000108.1|scnRI
BGC0000125.1|CAC20917.1
BGC0000193.1|aknO
BGC0000212.1|SSBG_00514
BGC0000625.1|tvaB
BGC0001803.1|tvaB
BGC0000625.1|BAN83931.1
BGC0001803.1|BAN83931.1
BGC0000822.1|CAC93708.1
BGC0000821.1|BAC10669.1
BGC0001366.1|ctg1_orf2
BGC0001513.1|abxR2
